binance_symbol,base_asset,coingecko_id,coingecko_symbol,coingecko_name,match_status
1000000MOGUSDT,1000000MOG,mog-coin,,,auto_matched
1000BONKUSDT,1000BONK,bonk,,,auto_matched
1000CATUSDT,1000CAT,catwifhat,,,auto_matched
1000CHEEMSUSDT,1000CHEEMS,cheems,,,auto_matched
1000FLOKIUSDT,1000FLOKI,floki,,,auto_matched
1000LUNCUSDT,1000LUNC,terra-luna,,,auto_matched
1000PEPEUSDT,1000PEPE,pepe,,,auto_matched
1000SATSUSDT,1000SATS,sats-ordinals,,,auto_matched
1000SHIBUSDT,1000SHIB,shiba-inu,,,auto_matched
1000WHYUSDT,1000WHY,why,,,auto_matched
1000XECUSDT,1000XEC,ecomi,,,auto_matched
1INCHUSDT,1INCH,1inch,,,auto_matched
4USDT,4,4,,,auto_matched
AAVEUSDT,AAVE,aave,,,auto_matched
ACHUSDT,ACH,alchemy-pay,,,auto_matched
ACTUSDT,ACT,achain,,,auto_matched
ACXUSDT,ACX,across-protocol,,,auto_matched
ADAUSDT,ADA,cardano,,,auto_matched
AERGOUSDT,AERGO,aergo,,,auto_matched
AEROUSDT,AERO,aerodrome-finance,,,auto_matched
AGLDUSDT,AGLD,adventure-gold,,,auto_matched
AIUSDT,AI,sleepless-ai,,,auto_matched
AIXBTUSDT,AIXBT,aixbt,,,auto_matched
AKTUSDT,AKT,akash-network,,,auto_matched
ALGOUSDT,ALGO,algorand,,,auto_matched
ALICEUSDT,ALICE,my-neighbor-alice,,,auto_matched
ALLOUSDT,ALLO,allo,,,auto_matched
ALTUSDT,ALT,altlayer,,,auto_matched
AMPLUSDT,AMPL,ampleforth-governance-token,,,auto_matched
ANKRUSDT,ANKR,ankr,,,auto_matched
APEUSDT,APE,apecoin,,,auto_matched
API3USDT,API3,api3,,,auto_matched
APTUSDT,APT,aptos,,,auto_matched
ARBUSDT,ARB,arbitrum,,,auto_matched
ARCUSDT,ARC,arc,,,auto_matched
ARIAUSDT,ARIA,aria,,,auto_matched
ARKMUSDT,ARKM,arkham,,,auto_matched
ARKUSDT,ARK,ark,,,auto_matched
ARPAUSDT,ARPA,arpa,,,auto_matched
ARUSDT,AR,arweave,,,auto_matched
ASTRUSDT,ASTR,astar,,,auto_matched
ATAUSDT,ATA,automata,,,auto_matched
ATOMUSDT,ATOM,cosmos,,,auto_matched
AUCTIONUSDT,AUCTION,auction,,,auto_matched
AVAAIUSDT,AVAAI,ava-ai,,,auto_matched
AVAUSDT,AVA,convex-finance,,,auto_matched
AVAXUSDT,AVAX,avalanche-2,,,auto_matched
AVTUSDT,AVT,aventus,,,auto_matched
AXLUSDT,AXL,axelar,,,auto_matched
AXSUSDT,AXS,axie-infinity,,,auto_matched
B3USDT,B3,b3,,,auto_matched
BABYUSDT,BABY,baby,,,auto_matched
BANANAUSDT,BANANA,banana,,,auto_matched
BANDUSDT,BAND,band-protocol,,,auto_matched
BANUSDT,BAN,banano,,,auto_matched
BASUSDT,BAS,bas,,,auto_matched
BATUSDT,BAT,basic-attention-token,,,auto_matched
BCHUSDT,BCH,bitcoin-cash,,,auto_matched
BEAMXUSDT,BEAMX,beam-2,,,auto_matched
BELUSDT,BEL,bella-protocol,,,auto_matched
BICOUSDT,BICO,biconomy,,,auto_matched
BIGTIMEUSDT,BIGTIME,big-time,,,auto_matched
BIOUSDT,BIO,biopassport,,,auto_matched
BLURUSDT,BLUR,blur,,,auto_matched
BNBUSDT,BNB,binancecoin,,,auto_matched
BNTUSDT,BNT,bancor,,,auto_matched
BOBUSDT,BOB,bob,,,auto_matched
